month (MWh),PV (MWh),CSP (MWh),Wind (MWh),Hydraulic & pumping (MWh),Biomass & biogas (MWh),Cogeneration (MWh),Combined cycle (MWh),Exportation (MWh),Importation (MWh)
1,1.8806742437791293,1.3605846650890785,8.80191131250574,2.3383550230000014,2.9244590813474054,5.878257275137119,1.010339113991332,0.0,2.768094733991067
2,1.7433048256656891,0.8091193553195777,8.999448830420384,2.233272896999999,2.225660300561916,4.836819878000103,0.6211070045007898,-0.04204754891068165,1.8272178522760136
3,2.8265101775875983,3.0726531477324017,8.617544415187336,2.9488195170000053,1.7310659442696967,4.1333477055618655,0.14038499398651685,-0.022956765619743896,1.1391174923563787
4,3.318623646062757,4.87496588670331,7.652584296509958,2.09718527,1.0681971457786439,2.5288757711469905,0.02318839356031358,-0.0810567835019765,0.5040636386265849
5,3.467992447653011,5.550950211437038,6.288509605991618,2.098726896999999,1.5093748984346187,3.628177594080959,0.07930087155078022,-0.0037664486688162107,0.9342834480942542
6,3.495001794565137,6.9221845569166405,5.788863669745379,1.7285918429999987,1.7092963924776894,3.778523560109708,0.3429459361079218,-0.006257668241163097,1.578859460978215
7,3.6381369330761415,7.408740100268985,6.11268965250958,1.290617790999999,1.832150085949388,3.9311905379873475,0.3506785974963199,0.0,1.6525434818098157
8,3.2416640860715624,6.315307456234723,6.04874430871316,1.1950546010000003,1.9613210261435272,4.152585766187104,0.578028809879394,0.0,1.9987242706172825
9,3.086598589880538,5.535420618341363,5.1561949863717995,1.2667555890000002,2.007581355889634,4.002016934526723,0.5533188031603741,-0.002708845101673851,2.031479256825499
10,2.7135816208153596,3.636428635389633,5.841852597982731,0.9068160520000009,2.371343134089785,5.004566415990767,0.7658462364064192,0.0,2.373757977189289
11,2.1494319710165932,2.0115442386360454,7.259590568861819,1.0550973520000007,2.698638507788373,5.196371591203684,1.4887485004799226,-0.0017867625467429206,2.6040319544282906
12,1.701333702824835,1.196077943344044,10.53455352395281,1.5602442529999991,2.4878102980657335,5.534838897858242,0.9257698447744845,-0.011981326498271919,2.042920093781002
